Optimizer,Val Loss Epoch 1,Val Acc Epoch 1 (%),Val Loss Epoch 5,Val Acc Epoch 5 (%),Val Loss Epoch 10,Val Acc Epoch 10 (%),Total Training Time (s)
SGD,3.8928135888645063,9.45,2.6475100901941904,31.99,1.9252304901330235,47.88,2170.24
SGD_Momentum,3.167800793632532,22.86,1.7389451619535208,52.23,1.558873933820298,58.81,2177.15
RMSprop,3.3536873770217164,15.43,1.9817868501614457,45.91,1.5863441642100058,56.51,2196.1
Adadelta,3.351856544756661,18.0,1.9275380460598979,48.52,1.5366909022148425,58.67,2193.61
Adagrad,3.257965803908083,19.0,1.9216421214155495,47.51,1.8067755375426418,51.77,2174.77
Adam,3.2404446327648224,19.73,1.7805467752602915,50.54,1.4871152681283677,58.93,2176.42
